ACCOUNT_ID,SUBJECT_LINE,SENT_COUNT,DELIVERED_COUNT,OPENED_COUNT,UNIQUE_OPENED_COUNT,UNIQUE_BOUNCE_COUNT,Open Rate,char length of subject line
123,WHOA! Up to 65% off.,917177,916177,167738,117219,1000,12.79%,20
123,WHOA. $29.95 and   under sandals are here!,1177435,1176435,202265,158029,1000,13.43%,42
123,WHOA. An email exclusive just for you.,3252780,3251780,1009435,604148,1000,18.58%,38
123,WHOA. Dress shoes under $25!,7205964,7204964,1972750,1417610,1000,19.68%,28
123,WINTER IS COMING. Be ready.,6197399,6196399,1244658,997204,1000,16.09%,27
123,Wait till you see this new stuff.,2441942,2440942,1184805,1025799,1000,42.02%,33
123,Want $10 off new shoes?,49744,48744,12782,8732,1000,17.91%,23
123,Want $10 off your new favorite boots?,1915841,1914841,465461,337033,1000,17.60%,37
123,Want $10 off? Help us improve our Rewards program!,269524,268524,96852,59644,1000,22.21%,50
123,Want $10 off? It's yours.,356238,355238,179637,90995,1000,25.62%,25
123,Want $10? It's your LAST chance!,96771,95771,24576,18129,1000,18.93%,32
123,Want $10? Tell us your birthday!,12690,11690,5188,3156,1000,27.00%,32
123,Want $20 and   4X points?,870845,869845,126662,106326,1000,12.22%,25
123,Want $20 AND a FREE gift?,152659,151659,49260,30757,1000,20.28%,25
123,Want $20 OFF? Hurry-it ends tonight!,580192,579192,104153,81118,1000,14.01%,36
123,Want $20 off new shoes?,25311,24311,8566,4962,1000,20.41%,23
123,Want $20 with those boots?,4443302,4442302,1019014,792285,1000,17.84%,26
123,Want $20? Here's $20.,12514219,12513219,3176776,2388841,1000,19.09%,21
123,Want $20? It's your LAST chance!,96107,95107,37257,18704,1000,19.67%,32
123,Want $20? You've got it. (But it ENDS TODAY!),7581346,7580346,1655079,1249150,1000,16.48%,45
123,Want $25 + early access to our HUGE clearance event?,296378,295378,107809,75742,1000,25.64%,52
123,Want $25 off your next shopping trip?,2075253,2074253,1140189,677942,1000,32.68%,37
123,Want $5? Tell us your birthday!,185332,184332,50034,35021,1000,19.00%,31
123,Want 15% off everything?,554994,553994,90464,67657,1000,12.21%,24
123,Want 20% off?,902430,901430,140003,116912,1000,12.97%,13
123,Want 25% off everything?,3140099,3139099,569100,421825,1000,13.44%,24
123,Want 30 points?,1655088,1654088,556017,382534,1000,23.13%,15
123,Want 50 points? Just take this VIP survey.,6229190,6228190,1756747,1252876,1000,20.12%,42
123,Want 50 points? Just take this quick survey!,4905,3905,1650,1195,1000,30.60%,44
123,Want 500 bonus points? You've got it. (But it ENDS TODAY!),799750,798750,168063,130729,1000,16.37%,58
123,Want FREE 2-day shipping?,1642910,1641910,298368,250043,1000,15.23%,25
123,Want FREE next-day shipping on every purchase?,11172,10172,3715,2334,1000,22.95%,46
123,Want FREE shipping alllll the time?,721444,720444,84796,67418,1000,9.36%,35
123,Want a FREE gift and   $20??,138110,137110,36143,24153,1000,17.62%,28
123,Want compliments? Get these sneakers.,38519,37519,7570,6153,1000,16.40%,37
123,Want it for the holidays? Order TONIGHT.,2463511,2462511,408839,341794,1000,13.88%,40
123,Want new boat shoes from $49.95?,1130281,1129281,189702,146322,1000,12.96%,32
123,Want to save $20.18?,8054613,8053613,1813942,1392962,1000,17.30%,20
123,Want to save 30 seconds?,741270,740270,112940,95392,1000,12.89%,24
123,Want to win $500 in gift cards?,7590590,7589590,1132496,946112,1000,12.47%,31
123,Warm > cold,5116479,5115479,898741,746849,1000,14.60%,11
123,Warm up with a FREE BLANKET!,726548,725548,89838,78839,1000,10.87%,28
123,We almost NEVER do this...,3415115,3414115,1084372,809619,1000,23.71%,26
123,We chose these boots just for you.,4621146,4620146,724758,633002,1000,13.70%,34
123,We found the perfect moc.,289074,288074,41443,35914,1000,12.47%,25
123,We found these for you.,7105803,7104803,1344833,1035332,1000,14.57%,23
123,We found your nudes.,7517488,7516488,1145043,982280,1000,13.07%,20
123,We found your party shoes.,89500,88500,14030,12079,1000,13.65%,26
123,We had a snafu. Mind filling out that survey again?,36914,35914,14781,10688,1000,29.76%,51
